ETF,Model,Features,Split,Trial,y_pred,MAE,R2-OOS
BIL,Ridge,limited,train,1,[],0.0,1.0
BIL,Ridge,limited,val,1,[],0.0,1.0
BIL,Ridge,limited,test,1,[],0.0,1.0
BIL,Ridge,full,train,1,[],0.0,1.0
BIL,Ridge,full,val,1,[],0.0,1.0
BIL,Ridge,full,test,1,[],0.0,1.0
BIL,Ridge,PCA,train,1,[],0.0,1.0
BIL,Ridge,PCA,val,1,[],0.0,1.0
BIL,Ridge,PCA,test,1,[],0.0,1.0
BIL,GBR,limited,train,1,[],0.0,1.0
BIL,GBR,limited,val,1,[],0.0,1.0
BIL,GBR,limited,test,1,[],0.0,1.0
BIL,GBR,full,train,1,[],0.0,1.0
BIL,GBR,full,val,1,[],0.0,1.0
BIL,GBR,full,test,1,[],0.0,1.0
BIL,GBR,PCA,train,1,[],0.0,1.0
BIL,GBR,PCA,val,1,[],0.0,1.0
BIL,GBR,PCA,test,1,[],0.0,1.0
